"skill","average_skill_salary","skill_demand_count","salary_demand_coefficient","monetary_market_share"
"python","141976","5616","797337216","14.7%"
"sql","142319","4175","594181825","11.0%"
"r","138714","3177","440694378","8.17%"
"tableau","134753","1607","216548071","4.02%"
"spark","149662","1291","193213642","3.58%"
"aws","141748","1349","191218052","3.55%"
"tensorflow","146920","880","129289600","2.40%"
"pytorch","149663","772","115539836","2.14%"
"azure","135560","823","111565880","2.07%"
"hadoop","141181","767","108285827","2.01%"
"excel","127406","763","97210778","1.80%"
"sas","125255","762","95444310","1.77%"
"java","135183","701","94763283","1.76%"
"pandas","142440","639","91019160","1.69%"
"scala","146704","531","77899824","1.44%"
"scikit-learn","145940","513","74867220","1.39%"
"power bi","120971","592","71614832","1.33%"
"go","153973","460","70827580","1.31%"
"git","131711","520","68489720","1.27%"
"snowflake","144292","447","64498524","1.20%"
"numpy","140552","454","63810608","1.18%"
"databricks","140066","404","56586664","1.05%"
"gcp","141377","357","50471589","0.94%"
"c++","139148","350","48701800","0.90%"
"c","144668","333","48174444","0.89%"
"nosql","134987","317","42790879","0.79%"
"matlab","130791","324","42376284","0.79%"
"looker","149635","283","42346705","0.79%"
"docker","133938","316","42324408","0.78%"
"keras","140025","302","42287550","0.78%"
"pyspark","140731","284","39967604","0.74%"
"matplotlib","136735","288","39379680","0.73%"
"airflow","158922","241","38300202","0.71%"
"oracle","119634","268","32061912","0.59%"
"github","131841","239","31509999","0.58%"
"jupyter","141084","214","30191976","0.56%"
"bigquery","148118","198","29327364","0.54%"
"powerpoint","125719","232","29166808","0.54%"
"flow","142684","200","28536800","0.53%"
"kubernetes","138728","201","27884328","0.52%"
"linux","137616","202","27798432","0.52%"
"javascript","120014","227","27243178","0.51%"
"word","123305","218","26880490","0.50%"
"kafka","141203","177","24992931","0.46%"
"redshift","140485","176","24725360","0.46%"
"spss","118806","194","23048364","0.43%"
"jira","133830","164","21948120","0.41%"
"mysql","126014","168","21170352","0.39%"
"sql server","115968","180","20874240","0.39%"
"plotly","137717","127","17490059","0.32%"
"express","151281","115","17397315","0.32%"
"c#","136669","127","17356963","0.32%"
"seaborn","142287","117","16647579","0.31%"
"postgresql","125915","114","14354310","0.27%"
"qlik","130421","108","14085468","0.26%"
"mongodb","127934","107","13688938","0.25%"
"windows","125783","105","13207215","0.24%"
"sap","128439","93","11944827","0.22%"
"alteryx","120050","97","11644850","0.22%"
"ggplot2","128783","89","11461687","0.21%"
"julia","132945","84","11167380","0.21%"
"elasticsearch","127529","83","10584907","0.20%"
"shell","135419","77","10427263","0.19%"
"vba","117496","85","9987160","0.19%"
"jenkins","123037","81","9965997","0.18%"
"cassandra","153053","63","9642339","0.18%"
"nltk","135280","71","9604880","0.18%"
"confluence","127027","73","9272971","0.17%"
"html","116793","79","9226647","0.17%"
"spring","121110","72","8719920","0.16%"
"splunk","133404","63","8404452","0.16%"
"perl","132944","63","8375472","0.16%"
"sharepoint","117545","64","7522880","0.14%"
"unix","119359","63","7519617","0.14%"
"neo4j","170861","44","7517884","0.14%"
"gitlab","146853","51","7489503","0.14%"
"phoenix","129018","58","7483044","0.14%"
"flask","134644","55","7405420","0.14%"
"opencv","138711","52","7212972","0.13%"
"tidyverse","139340","47","6548980","0.12%"
"outlook","127437","51","6499287","0.12%"
"ssis","108906","54","5880924","0.11%"
"gdpr","145975","39","5693025","0.11%"
"react","124825","44","5492300","0.10%"
"bash","123776","44","5446144","0.10%"
"terminal","142952","37","5289224","0.10%"
"ruby","135246","39","5274594","0.10%"
"atlassian","150734","33","4974222","0.09%"
"spreadsheet","122709","40","4908360","0.09%"
"theano","153167","32","4901344","0.09%"
"django","129798","37","4802526","0.09%"
"ibm cloud","126132","38","4793016","0.09%"
"terraform","130533","36","4699188","0.09%"
"microstrategy","142352","33","4697616","0.09%"
"hugging face","156812","28","4390736","0.08%"
"bitbucket","136127","32","4356064","0.08%"
"mxnet","144649","30","4339470","0.08%"
"css","113324","38","4306312","0.08%"
"php","140764","30","4222920","0.08%"
"crystal","123818","31","3838358","0.07%"
